Designator	Footprint	Mid X	Mid Y	Ref X	Ref Y	Pad X	Pad Y	Layer	Rotation	Comment
"1"	"PAD"	"9.46mm"	"2mm"	"8.46mm"	"0mm"	"9.46mm"	"2mm"	"T"	"0"	"DB9 Pad"
"2"	"PAD"	"12.23mm"	"2mm"	"11.23mm"	"0mm"	"12.23mm"	"2mm"	"T"	"0"	"DB9 Pad"
"3"	"PAD"	"15mm"	"2mm"	"14mm"	"0mm"	"15mm"	"2mm"	"T"	"0"	"DB9 Pad"
"4"	"PAD"	"17.77mm"	"2mm"	"16.77mm"	"0mm"	"17.77mm"	"2mm"	"T"	"0"	"DB9 Pad"
"5"	"PAD"	"20.54mm"	"2mm"	"19.54mm"	"0mm"	"20.54mm"	"2mm"	"T"	"0"	"DB9 Pad"
"6"	"PAD"	"10.84mm"	"2mm"	"11.84mm"	"0mm"	"10.84mm"	"2mm"	"B"	"180"	"DB9 Pad"
"7"	"PAD"	"13.61mm"	"2mm"	"14.61mm"	"0mm"	"13.61mm"	"2mm"	"B"	"180"	"DB9 Pad"
"8"	"PAD"	"16.39mm"	"2mm"	"17.39mm"	"0mm"	"16.39mm"	"2mm"	"B"	"180"	"DB9 Pad"
"9"	"PAD"	"19.16mm"	"2mm"	"20.16mm"	"0mm"	"19.16mm"	"2mm"	"B"	"180"	"DB9 Pad"
"DATA"	"CONN-TH_3P-P3.50_930-DS-03"	"10mm"	"48mm"	"10mm"	"48mm"	"13.5mm"	"48mm"	"T"	"180"	"930-DS/03"
"POWER"	"CONN-TH_2P-P3.50_930-DS-02"	"22mm"	"48mm"	"22mm"	"48mm"	"23.75mm"	"48mm"	"T"	"180"	"930-DS/02"
"R1"	"R2010"	"23.5mm"	"16.5mm"	"23.5mm"	"16.5mm"	"23.5mm"	"18.89mm"	"T"	"270"	"50Ω"
"SW1"	"SW-TH_DS-06RP"	"12.5mm"	"19mm"	"12.5mm"	"19mm"	"6.15mm"	"15.19mm"	"T"	"0"	"DS-06RP"
"TEDS"	"TO-92-3_L4.9-W3.7-P1.27-L"	"25mm"	"8mm"	"25mm"	"8mm"	"25mm"	"9.27mm"	"T"	"270"	"GXE00"
